uuid,name,value
9e085556-7c76-432e-809d-fdc8c8729834,CPR,081288-6012
a5c94f90-24c9-43e5-a93e-14845d3df781,FN,05104749447
0acf2549-888f-405b-a72c-0bd4a87217fa,,
ee58b1e7-18a2-48de-9ed9-c9ddfec803f7,,
46644a74-237d-4462-889f-84d563c854cb,AVS,756.3822.9223.12
36047c5f-cd38-413d-889c-62299fd8ce6c,BSN,44176772
8471593c-be32-440a-b1b9-c05d44f43523,,
0ca1c342-e2ce-49c8-83e7-b889d1d406c4,FN,11114404804
b735a002-86b7-471b-bbc3-dce0b0271d0f,DNI,15026260-Q
9183c96b-38ee-43de-8187-8d10cf7c3194,,
e6670677-94be-49be-9815-00302e2a0298,SSN,444-90-4665
e11f68e4-ef5e-463f-a0ae-f1c5961d3aaf,SSN,876-40-6546
9a57f64c-8b44-4e01-b9e2-2913a390aa29,NINO,NA 36 99 44 S
06601044-7c21-475e-8440-3bdf2626d1b9,NINO,WE 04 63 30 J
10d554fd-6471-4820-9fba-2bac9140e601,NINO,YR 28 02 16 H
d542a185-3fa3-4496-b669-777f17a98f4e,AVS,756.5200.1594.47
71efcb95-4861-4fd2-b4d0-0105666ea791,AVS,756.3298.5016.88
ee64829d-c970-4a86-a8cd-a825553cce81,,
001e2961-92ae-4964-8711-5d7c69843a2e,,
1fb402a3-1d27-4abf-bbc7-ae65f8f4bfba,,
8925226e-fb8f-426b-a909-bb74d51a1fb6,,
0562150f-ae02-4a3f-b8f2-6caab232fcba,,
d1814671-8544-482d-8ced-2b17d902eddc,HETU,NaNNA080undefined
805aff76-b989-46f5-a852-3b14ad7ed42d,SSN,708-24-2468
dcb852d3-ec00-4bf3-8ae0-48b190dabd55,,
d6355ff1-a2e7-4d96-9b83-4dde91b43460,TFN,420882958
e25f1b47-685f-4bcf-bc4b-f38e1a84de5d,TFN,398718959
cba73507-dbec-41ef-9f26-a223ccedfa84,,
4a40c364-c85a-4e72-a9ae-f8281ead317a,,
059ea816-ad2f-4f40-b57e-ff35d0114df6,HETU,NaNNA372undefined
46b8781c-358d-460c-8197-41f6ee6261c8,CPR,241044-5899
34404066-f915-4c48-a475-4dbaa198b2dc,,
23952a7d-1922-447e-a0cb-111e7126b9d0,SSN,311-86-1602
8a3ec85a-a491-42d8-bf88-64cb61556f58,CPR,160391-6051
358e51b4-9589-4831-923a-ea3d03194315,AVS,756.8054.8566.79
c8eee2ca-6f73-40b9-8a77-8795ceae489a,,
60f89401-28f6-46b3-999b-7d542fe4ea51,PPS,6325886T
90c5cf27-f0f1-4b9e-be80-441743fd812a,INSEE,2NNaN54704144 14
ddc5293c-fc59-4d27-89f3-ba1e8bc3b7fb,,
7acc5fa7-2590-442a-8628-0bc066ac2d53,CPR,021269-5422
96057625-4fce-4e87-9874-10c2be33648e,BSN,18013398
e51262ab-c924-480f-9573-dddcc972089b,,
c5c6a0b6-9e7f-4a70-ad9c-15780d1844c1,CPR,210657-6521
827df88e-7649-45a2-af4a-17e41830bda3,INSEE,1NNaN26211488 87
129dab64-9878-44b2-8f12-1ca8aac3edfe,,
5d66c19d-6346-4d93-9eda-a2c928cfec1f,SSN,062-43-0190
842ed121-fcc0-4c1f-b91b-7f48832942e5,,
e381919f-11f6-4ae2-b043-5b622757c1d4,NINO,LP 46 93 90 C
79de1aed-a74c-41f3-81b1-ab80a53188f6,,
3277df06-4d50-4d32-83f5-45c0aa526e6c,SSN,178-97-5609
6596e7a5-a94e-4b6b-9650-c3d7d730de4e,FN,25067200007
10d03242-f110-48bd-a989-197e9563c6d7,SSN,518-04-3762
830233e2-4af5-4fdb-9ef8-fbe25ae8ba96,CPR,261090-0485
92bf512d-ff06-4405-a5c2-3de5f89cb1a0,AVS,756.9191.3047.32
d10ab5bc-e178-46bf-9d76-6e24e0141232,,
e46ca226-aa89-4790-a196-75f1783d1ab0,,
844336f1-659d-4067-a474-26b44c6cca38,NINO,CX 25 39 37 N
e5bbedb9-2c29-4b03-a4a1-d16babc7e1c9,,
dfedf468-9561-421b-9ff1-ff73b3f11840,,
c640653a-9168-4640-af3a-63cdcb822aa0,,
85e6dff2-b6ee-49d7-9c8a-a22ff10da522,,
2a035a67-7830-4209-b589-ee184cd8dbf3,,
bf2ae67d-e052-42a0-8239-2bb45b8e0484,,
ed20bc3b-df2b-4ca7-be7c-6562fffacd09,,
8babfa24-9425-4e38-91b7-312eb2473813,,
73847547-975c-4e6b-b93d-ab6288e1cbb4,SSN,305-07-8886
0a52540e-b2c7-4585-ab51-f7e2a638eda7,HETU,NaNNA779undefined
f1a3005c-57a0-4d89-b21c-f85a8c5f8a13,INSEE,2NNaN51523699 26
c36ebe09-7b06-4276-a8a2-70ed2f205782,BSN,26166585
525362fa-59c1-4526-836e-dc13da7514eb,,
1feb4c64-c40f-410c-8967-71ea43b4e4ed,,
2f3a8744-bbf3-44d6-8492-d514ff144135,AVS,756.9350.1634.37
b7216842-0aed-4d18-b121-2b3e0244ee36,SSN,286-56-3535
bd0f530f-de54-4d28-b0f4-a1eaa06033e0,,
101bc65f-0a0d-4bce-9f2a-e16786c0aa33,CPR,011183-5240
dea001e4-e0d3-4560-a843-8530ca699287,NINO,HL 87 09 90 A
d27be96a-a39c-47c2-8df7-64866d9d84b3,,
7eddfeca-e2c4-40bc-b879-e0ca278aa8a3,NINO,KH 60 51 87 S
3a11e54d-4dfe-4ded-a02f-439ad875959d,PPS,9336464T
76d46e45-d976-44f3-a56a-872fcdbc8350,PPS,9066423T
6501f1a7-42a3-4fab-9da1-7e26d680439b,SSN,517-56-3948
e28052e9-4b41-4695-8f8b-fa7216baf83c,HETU,NaNNA244undefined
8c0346e7-e3f4-4846-b6db-2781fc95d860,DNI,22126460-Y
5b2babc9-db53-4a51-ba56-3babda23381b,NINO,AP 55 78 35 E
336cada3-e614-4435-8926-cc9de62603eb,,
9cd5c1d0-12fc-4535-8cd1-ff8363adbf35,TFN,350691991
48e67a6a-146f-44a4-acc6-c07bb606bec1,,
2797ae5f-0127-4343-a17f-71cfaa1b3902,TFN,063398072
b4e03627-4593-4031-a0bc-acf5c98f6faf,CPR,230762-1308
67215949-20c4-4157-9e63-952087684b3a,DNI,44074520-G
6a4743cc-2bdf-4b9b-8fca-c7825357b2ff,SSN,738-26-8516
2dabb8b8-46e6-45d5-83ce-4ebe293e88f5,TFN,587922440
db9bed33-7cef-4279-a922-d068f4e244fd,,
1b616414-3f88-42e1-b5ba-456d88975d58,PPS,5028814T
4779e643-6d6b-47fd-a086-c6b771c0807e,AVS,756.1298.8188.24
82e77d9f-135d-422a-b14f-8df20d32c07b,,
c18872c8-b8f1-4e35-97b5-42395aaf586a,FN,21109714337
886d7830-49a9-49b9-a7a8-3bba20452d3b,,
e749bace-8f1b-4438-820d-90413c6baa57,,
38556283-bf03-4f0d-9a92-a2524e760576,CPR,070362-8937
9a80ffc2-f9a7-4d5c-bc13-7810ac820339,,
b3840ba5-bd38-4557-a115-67f6bcc4e528,TFN,713110094
0bf6de11-92dd-49bd-87cd-c116f959e0e2,TFN,294019267
d1fd7baf-e311-47b1-b8c2-1968970d2ec9,BSN,15198725
89b67001-4332-40f2-a6d6-d1636cd3fa86,BSN,69469112
2e485f5b-8d14-4a55-ad4f-593375b63c9e,FN,03069412482
5c2083f2-ddcf-46ad-81c5-9b4b57d862f9,TFN,873651451
fc3093f3-c713-4791-9cd7-81a4b8d0d422,PPS,3958559T
8104f221-6a1b-445b-a465-80ee74c91e40,AVS,756.3043.4100.64
b5b61b62-c98e-4bbb-8ba9-ce220377dc45,SSN,097-65-4030
2c2761fa-4c4d-494a-ae48-35b06df4fb65,NINO,PZ 50 89 93 S
b712b7ab-f7d0-433d-ba99-6cf1d6a080d9,CPR,050159-4598
fee1d5dc-435a-40fc-bc65-09be0e5e85b5,BSN,26726204
b3b63655-9a36-4f8c-bfd6-6ee5da98bfe8,HETU,NaNNA645undefined
6a496a4f-ad49-4ddf-b29c-6ec580bfc334,,
7f0c8385-c182-427e-82eb-170b6937c682,AVS,756.2009.2041.07
39516bf3-a75c-43e5-b97a-c30bd633282e,,
257dacaf-72d7-4c46-93f5-180bdddb66f7,INSEE,1NNaN53176680 94
e89402b9-ba34-43fa-a083-f4bf5f210051,PPS,8534599T
9bcd8dde-81f4-49b2-8100-70475f163d39,,
dc67dddd-b9d0-49c8-9835-aff4dc7a2afc,CPR,271161-5412
dc2740b0-dc05-4101-a025-559386597b86,INSEE,2NNaN14645273 50
9564a1aa-8d92-4a13-9bb4-378589cc5350,NINO,LM 86 88 85 X
7e729d74-b0ea-4b3c-894e-9bfa7081b82d,AVS,756.8841.7622.44
9dd711c2-b154-4a2f-97d7-9c6f5e032356,FN,16046232813
de89817b-238c-4998-843f-faa9c8ea65bf,,
c0613200-51b5-4468-b656-0f6813a564bf,CPR,070891-9229
e2a1c94c-361b-41e7-a66b-229984f1e4b5,,
818eafde-23da-49a5-959b-70fc56f06090,FN,15059035107
cbde87e2-f1d9-47f0-b697-1ddc74a0ca57,,
8b637fdd-a29f-483e-b75b-b95914faa508,DNI,75472043-D
e96b8370-8ba0-444e-af06-322b77a21f67,,
ad5baca3-80cc-4a34-ba74-a6e3d37d96b6,TFN,946879868
0c9e4685-69d1-4696-bfa7-d618f8af858d,SSN,830-49-9501
590b9263-d270-40fd-90ac-f72e1872027f,,
ae3c72d3-a623-4527-a39e-4c5d7e98abb6,AVS,756.1449.3479.59
7fe13d5c-4289-4cbf-8f75-a4a45647cb0e,PPS,8994802T
0eebeccc-bba8-462a-8317-79b2eba79426,HETU,NaNNA958undefined
a05c7866-e158-4f28-bbf4-8bfe4488f9f9,,
b8a20193-4dca-4ddb-b9ee-0a354865987a,AVS,756.0020.8351.06
b978314f-a57c-4e81-9d8e-e4b713182efd,,
11bd60a3-1618-44e0-afa3-2f8dcfc40f42,FN,23066732509
eabd79e0-8ec9-4e38-97ed-30b79bb035b7,INSEE,2NNaN56631348 56
b00fda18-d4c5-4d1a-8c72-33f3e06c7568,SSN,096-79-3181
a082ebba-de5e-47e7-b742-3dd938ba32fe,NINO,RB 70 07 03 Q
8ae7da45-b69c-489e-b669-69696ce8195c,,
38069a23-9761-4110-9701-b1e0ca3be2e0,,
746f2108-8aa4-47ec-b35f-e330dd9a0766,TFN,872055880
968e98cc-c4b1-4a1b-92c8-a4f7d7ef5634,,
563417dc-62b1-4c9b-91f7-d3f873371501,TFN,092644919
66684097-2971-4d9b-9ce9-4b6f46721e25,TFN,792723677
5568a998-4613-4324-a6b1-f971b5ed552a,FN,21055009829
69dc6a88-4420-4efa-8a5f-3580154eb841,,
84749fe7-e923-48cc-ae45-d3f6c84a85ca,DNI,07157446-E
612d9f51-ef83-4c49-88b3-365251313e56,FN,09095625344
ef0ab47a-ab41-49e6-91e8-20ed22fcfc76,,
9151c78d-8ef7-4269-83a7-d9ddf1c3c1f3,,
9ec0988c-d582-419f-98ec-bf33caf58260,TFN,736078283
d198e7f3-3799-4136-9105-d9a9970f401c,,
c93826ba-aba2-4e81-bb36-4a94a2b71667,,
604809f1-ef26-4e31-97de-fadde07c913a,CPR,230171-7049
13d8b69e-31c2-4b93-8e19-80c120bff3d0,INSEE,2NNaN73801321 01
85dfc953-4d11-4afc-9112-f0319d88a7ff,,
