uuid,gender,email,phone,cell,nat
9e085556-7c76-432e-809d-fdc8c8729834,male,mikkel.sorensen@example.com,85416522,73637629,DK
a5c94f90-24c9-43e5-a93e-14845d3df781,female,ea.tsegay@example.com,81325555,90371417,NO
0acf2549-888f-405b-a72c-0bd4a87217fa,male,lewis.morris@example.com,(893)-986-7688,(997)-501-9434,NZ
ee58b1e7-18a2-48de-9ed9-c9ddfec803f7,male,hans-gerhard.guse@example.com,0753-2770224,0170-3473988,DE
46644a74-237d-4462-889f-84d563c854cb,female,aurora.dupont@example.com,078 277 91 12,075 671 76 70,CH
36047c5f-cd38-413d-889c-62299fd8ce6c,female,aliza.vanderavoird@example.com,(182)-037-2747,(423)-600-1536,NL
8471593c-be32-440a-b1b9-c05d44f43523,female,sophia.anderson@example.com,(288)-005-4581,(079)-482-1521,NZ
0ca1c342-e2ce-49c8-83e7-b889d1d406c4,female,helen.kjeldsberg@example.com,26015512,91094592,NO
b735a002-86b7-471b-bbc3-dce0b0271d0f,female,francisca.esteban@example.com,949-437-572,629-004-591,ES
9183c96b-38ee-43de-8187-8d10cf7c3194,male,aabs.qsmy@example.com,078-91414807,0955-900-8332,IR
e6670677-94be-49be-9815-00302e2a0298,female,holly.gardner@example.com,(883)-216-0532,(962)-254-9336,US
e11f68e4-ef5e-463f-a0ae-f1c5961d3aaf,male,terry.young@example.com,(003)-443-9646,(028)-993-3516,US
9a57f64c-8b44-4e01-b9e2-2913a390aa29,female,sophia.palmer@example.com,015395 79765,0786-671-219,GB
06601044-7c21-475e-8440-3bdf2626d1b9,female,leah.hawkins@example.com,0112560 508 6783,0799-691-461,GB
10d554fd-6471-4820-9fba-2bac9140e601,female,marie.knight@example.com,016973 60557,0736-625-018,GB
d542a185-3fa3-4496-b669-777f17a98f4e,male,gerardo.denis@example.com,078 378 69 25,078 618 40 95,CH
71efcb95-4861-4fd2-b4d0-0105666ea791,male,ludwig.leroy@example.com,077 909 16 69,078 950 22 14,CH
ee64829d-c970-4a86-a8cd-a825553cce81,female,pippa.king@example.com,(274)-973-6467,(839)-641-3502,NZ
001e2961-92ae-4964-8711-5d7c69843a2e,female,harper.johnson@example.com,132-989-9548,542-107-1692,CA
